WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
WARNING__main__:Mul: 20 * 1 = 20
DEBUG__main__:HYPERPARAMS
n_neurons_hl1 = 32
n_neurons_hl2 = 32
discount = 0.99
learning_rate = 1e-05
DEBUG__main__:EP	reward	info
DEBUG__main__:1	-73.0	Max steps 100 reached per episodes.
DEBUG__main__:2	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:3	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:4	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:5	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:6	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:7	-75.5	Max steps 100 reached per episodes.
DEBUG__main__:8	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:9	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:10	-72.5	Max steps 100 reached per episodes.
DEBUG__main__:11	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:12	-76.0	Max steps 100 reached per episodes.
DEBUG__main__:13	-73.5	Max steps 100 reached per episodes.
DEBUG__main__:14	-78.0	Max steps 100 reached per episodes.
DEBUG__main__:15	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:16	-77.5	Max steps 100 reached per episodes.
DEBUG__main__:17	-74.5	Max steps 100 reached per episodes.
DEBUG__main__:18	-76.5	Max steps 100 reached per episodes.
DEBUG__main__:19	-78.5	Max steps 100 reached per episodes.
DEBUG__main__:20	-75.0	Max steps 100 reached per episodes.
DEBUG__main__:21	-74.0	Max steps 100 reached per episodes.
